Timestamp,"Based on the above, please confirm that you are happy to provide consent and to proceed with this survey as a participant? ",Can you confirm if you have used ChatGPT previously?,When you used ChatGPT - based on the prompt you entered - did the response help enhance your knowledge in that area? ,"Based on the response you received from ChatGPT, how would you rate the response you were provided? 

From 0 being not useful to 5 being exactly the information you needed.",Can you describe - in a few words - what prompt you provided ChatGPT to answer based on above?,"With the prompt you entered, do you believe you could of obtained the information you wanted elsewhere? ","If ChatGPT did enhance your knowledge, have you used it more into your day-to-day routine since?","How many times approximately, have you used ChatGPT since you have been aware of it? ","Based on previous ChatGPT use, how would you compare it with platforms such as Google, Youtube, or other method in terms of ease for acquiring knowledge on a particular topic?

From 0 being harder to gain this knowledge to 5 being easier to gain this knowledge.",Please confirm your occupational status,Please describe your level of education,"In a few words, what industry sector closely aligns with the sector you currently work within?","In a few words, please describe the course you are studying?"
2023/07/04 4:59:44 pm CET,Yes,Yes,Yes,4,I asked to explain a principal of orbital mechanics to me in basic terms,Yes,Yes,21 Times or more,4,Working Professional,Higher Education,Utilities ,
2023/07/04 6:29:44 pm CET,Yes,Yes,Yes,4,"Various prompts, generally on philosophical concepts/breakdown of these ideas. ",Yes,Yes,21 Times or more,5,Student,Bachelor's Degree,,Philosophy 
2023/07/04 6:37:15 pm CET,Yes,No,No,1,none,Yes,Not Applicable,0 - 5 Times,0,Student,Bachelor's Degree,,I'm a biology teacher. I teach highscool kids biology.
2023/07/05 2:26:17 am CET,Yes,Yes,Yes,4,"i asked chat gpt to write me a story, produce code for Unity Games Engine in C# etc.",Yes,No,6 - 10 Times,5,Unemployed,Bachelor's Degree,,
2023/07/05 10:48:04 am CET,Yes,Yes,Yes,2,While the prompts usually give a decent indicator of what I want it is often riddled with mistakes and wrong information.,Yes,Yes,21 Times or more,3,Working Professional,Higher Education,Software Development,
2023/07/05 10:25:05 pm CET,Yes,Yes,Yes,5,Teacher resource creation based on ages and subjects,No,Yes,11 - 15 Times,5,Working Professional,Bachelor's Degree,Education ,
2023/07/08 12:49:44 am CET,Yes,Yes,Yes,3,Can you explain or summarise ,Maybe,No,11 - 15 Times,4,Student,Bachelor's Degree,,MSc in computer science with cyber security 
2023/07/08 10:50:39 am CET,Yes,Yes,Yes,5,My prompt asked ChatGPT to explain dual quaternions and how to calculate between other forms of representations of translations / rotations with them.,Yes,Yes,21 Times or more,5,Student,Master's Degree,, MSc Computer Science
2023/07/08 11:59:59 am CET,Yes,Yes,Yes,3,Ask to provide some code snippets,Maybe,No,0 - 5 Times,2,Working Professional,Bachelor's Degree,Video games production,
2023/07/08 1:54:40 pm CET,Yes,Yes,Yes,3,Asked jt about what kind of games use what kind of game engine and advantages of it,Yes,Yes,21 Times or more,4,Unemployed,Higher Education,,
2023/07/08 4:00:34 pm CET,Yes,No,No,0,no,Yes,No,0 - 5 Times,0,Working Professional,Higher Education,retail,
2023/07/08 7:05:54 pm CET,Yes,Yes,Yes,4,to create a guide for a synthesis ,Yes,Yes,16 - 20 Times,4,Student,Higher Education,,Chemistry and biotechnology
2023/07/09 7:24:20 am CET,Yes,Yes,Yes,3,Vulnerability management ,Yes,No,11 - 15 Times,4,Working Professional,Bachelor's Degree,Information Security ,
2023/07/11 4:03:19 pm CET,Yes,Yes,Yes,4,"You are a divorced father of 2 girls one 6 and the other 14, a Harvard law graduate with 30 years experience in child custody or family law please calibrate some verbiage in response to your ex-wife's email ensuring it is complete, cohesive, clever always indicating it is her fault without saying anything is her fault, but saying it in a way that an outside reader would automatically blame the ex-wife while focusing the reply on co-parenting so that the message ensures that you are the only one who wants to co-parent.",Maybe,No,21 Times or more,5,Working Professional,Bachelor's Degree,The TMT sector ,
2023/07/12 9:34:50 am CET,Yes,Yes,Yes,3,I have asked ChatGPT to retrieve information from certain employment law/ regulations as this aided my CIPD research. Some cross-referencing  is necessary but it can be a useful tool to get a starting base. ,Yes,Yes,16 - 20 Times,4,Working Professional,Higher Education,Recruitment + Human Resources,
2023/07/18 3:29:18 pm CET,Yes,Yes,Yes,4,Questions on using a new coding language i havent used before (Clojure) ,Yes,Yes,21 Times or more,5,Working Professional,Master's Degree,Data Consultancy,
2023/07/23 9:05:33 am CET,Yes,Yes,Yes,5,I asked for help mapping the steps & specifications that would help my partner transition into a different career ,No,Yes,11 - 15 Times,5,Working Professional,Bachelor's Degree,Banking ,
